category,url,redirects,title,lt,description,ld,weight,featured,new,product-title,product-description,product-price,feature-age,feature-size,feature-time,related,product-video
razvivayushie-igry,krestiki-noliki-kosmos,https://kiddy-trick.ru/razvivayushie-igry/krestiki-noliki-kosmos,Игра крестики-нолики из фетра Космос ,37,"В данной игре вместо классических крестиков и ноликов используются ракеты и летающие тарелки. В ракеты и тарелки вшиты магнитики, которыми они крепятся к игровому полю.",168,9,0,0,"Крестики-нолики ""Космос""","В данной игре вместо классических крестиков и ноликов используются ракеты и летающие тарелки. В ракеты и тарелки вшиты магнитики, которыми они крепятся к игровому полю. С помощью шнуровки и нескольких космических деталей можно потренировать мелкую моторику.",1200,от 3-х лет,20х18 см,5-7 дн,,
razvivayushie-igry,schetnye-kartochki,https://kiddy-trick.ru/razvivayushie-igry/razvivayushie-kartochki-schet-1-5;https://kiddy-trick.ru/razvivayushie-igry/razvivayushie-kartochki-schet-6-10,Счетные карточки из фетра,25,Интерактивные карточки для счета от 1 до 10.,44,10,0,0,Счетные карточки,Интерактивные карточки для счета от 1 до 10.,3000,от 2-х лет,17х17 см,14-21 дн,,
razvivayushie-igry,palchikoviy-teatr-poezd,,Пальчиковый театр из фетра Поезд,32,"Радужный поезд из фетра - это разборная игрушка. Вагоны соединяются друг с другом различными застежками. Рассаживая зверят по вагончикам, можно рассказать ребенку, что едят животные.",182,11,0,0,"Пальчиковый театр ""Поезд""","Радужный поезд из фетра - это разборная игрушка. Вагоны соединяются друг с другом различными застежками, такими как: пуговка, фастекс, кнопка, магнит, липучка, шнуровка и ремешок. Рассаживая зверят по вагончикам, можно рассказать ребенку, что едят животные. ",1800,от 2-х лет,8х8 см (размер вагона),7-9 дн,,
razvivayushie-igry,palchikoviy-teatr-skazki,,Пальчиковый театр из фетра Сказки,33,"Набор состоит из домика, 12 пальчиковых персонажей (дедушка, бабушка, внучка, курочка, кошка, собака, мышка, лягушка, зайчик, лисичка, волк и медведь),  колобка, репки и двух яиц.",179,12,0,0,"Пальчиковый театр ""Сказки""","Набор состоит из домика, 12 пальчиковых персонажей (дедушка, бабушка, внучка, курочка, кошка, собака, мышка, лягушка, зайчик, лисичка, волк и медведь),  колобка, репки и двух яиц. Набор персонажей позволит обыграть такие сказки, как Репка, Колобок, Теремок и Курочка ряба.",1300,от 2-х лет,14х14 см (размер домика),7-9 дн,,
razvivayushie-igry,palchikoviy-teatr-zhivotnie,https://kiddy-trick.ru/razvivayushie-igry/palchikoviy-teatr-bolshoy,Пальчиковый театр из фетра Животные,35,Набор состоит из 35 пальчиковых животных из фетра. К набору прилагается специальная сумка для хранения.,103,13,0,0,"Пальчиковый театр ""Животные"" 35 шт",Набор состоит из 35 пальчиковых животных из фетра. К набору прилагается специальная сумка для хранения.,3400,от 2-х лет,"6х7,5 см (размер лисички) ",18-25 дн,,
razvivayushie-igry,nabor-ovoshi-mini,,Набор овощей из фетра 17 шт,27,"Набор состоит из 17 двусторонних фруктов-овощей из фетра. Одна сторона показывает как выглядят овощи снаружи, вторая - как выглядят внутри.",139,14,0,0,"Набор ""Овощи"" 17 шт","Набор состоит из 17 двусторонних фруктов-овощей из фетра. Одна сторона показывает как выглядят овощи снаружи, вторая - как выглядят внутри.  

**Список овощей**: (арбуз,баклажан, банан, виноград, гриб, груша, капуста, картошка, лимон, лук, морковка, огурец, перец, помидор, свекла, тыква, яблоко)",1600,от 1 года ,7х7 см (размер помидора),5-8 дн,,
razvivayushie-igry,nabor-ovoshi-full,https://kiddy-trick.ru/razvivayushie-igry/fruktovo-ovoshnoy-nabor,Набор овощей из фетра 36 шт,27,"Набор из 36 двусторонних фруктов-овощей из фетра. Одна сторона показывает как выглядят овощи снаружи, вторая - как выглядят внутри.",131,15,0,0,"Набор ""Овощи"" 36 шт","Набор двусторонних фруктов-овощей из фетра. Одна сторона показывает как выглядят овощи снаружи, вторая - как выглядят внутри.  

**Список овощей**: абрикос, апельсин, арбуз, баклажан, банан, брокколи, горошек, грейпфрут, груша, дыня, ежевика, земляника, кабачок, капуста, картошка, киви, клубника, кокос, кукуруза, лимон, лук, малина, манго, морковь, облепиха, огурец, персик, помидор, репа, свекла, слива, тыква, хурма, черника, чеснок, яблоко)",3200,от 1 года ,7х7 см (размер помидора),14-21 дн,,
razvivayushie-igry,soberi-lico,https://kiddy-trick.ru/razvivayushie-igry/igra-soberi-lico,Игра из фетра Собери лицо,25,"Веселая игра из фетра, в которой ребенку предстоит собрать лицо из частей. Съемные детали на липучках позволят собрать от 12 и больше различных портретов.",154,16,0,0,"Игра ""Собери Лицо""","Веселая игра из фетра, в которой ребенку предстоит собрать лицо из частей. Съемные глаза, носы, рты, брови и прически позволят собрать от 12 и больше различных портретов, а аксессуары дополнят картину. Все детали крепятся к лицу липучками. Игра представляет собой планшет из 3 страниц - игровой центральной страницы и двух боковых из велкроткани, на которых хранятся мелкие детали. Для причесок в планшет вшит карман на молнии. К игре прилагается карточка с примерами портретов.",2800,от 2-х лет,23х65 см (в развернутом виде),9-14 дн,,
razvivayushie-igry,kartochki-zastezhki,,Карточки из фетра Застежки,26,Набор фетровых страниц для тренировки моторики с помощью различных застежек.,76,17,0,1,"Карточки ""Застежки""",Набор фетровых страниц для тренировки моторики с помощью различных застежек.,2500,от 2-х лет,21х21 см,7-14 дн,,
razvivayushie-igry,kovrik,https://kiddy-trick.ru/razvivayushie-igry/igrovoy-kovrik-cvetochek,Мягкий развивающий коврик,25,"С развивающим ковриком ребенка можно развлечь не только дома и на природе, но и в поездке - он разборный и мягкий. Выполнен в виде цветка с серединкой, на которую можно посадить малыша.",185,18,0,0,Развивающий коврик,"С нашим ковриком можно развлечь ребенка не только дома и на природе, но и в поездке - он разборный и мягкий. Выполнен в виде цветка с серединкой, на которую можно посадить малыша. Лепестки содержат различные игровые элементы из фетра:

- овощи-фрукты покажут как выглядят яблоко, груша, апельсин и помидор снаружи и внутри;
- геометрические фигуры выполнены из разных фактурный тканей и продемонстрируют шесть видов эмоций;
- букашки и листочки для изучения цветов радуги;
- игра в прятки с подсолнухом и забором;
- кораблик, в который можно сложить морских обитателей;
- грибочек развлечет поиском спрятанных насекомых и улиток.

Части коврика скрепляются кнопками. Коврик складывается гармошкой и фиксируется застежкой.",11500,от 1 года,102х108 см (размер лепестка: 34х38 см),21-28 дн,,https://youtu.be/8nsapl3l7ms
